,title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time,sentences,phrases,score,asp_word,det_word
367,abit of everything,,if you are the type to enjoy shopping then this is the place to walk around in. You have a market place with goodies ad plenty of fruit and fresh veggies. gift ideas and treats for yourself. outdoor entertainment with the locals and tour bus drop off. It is a safe location for visitors in the city. beautiful location and some history of our city. shops of various interest so do a walkabout.,"October 9, 2019",0,0,,4.0,2021-06-18 11:20:27.542093,2021-06-18 11:20:27.622649,It is a safe location for visitors in the city.,is a safe location for visitors in the city,0.946175217628479,safety,safe
525,Walkabout,,"We walked from downtown Vancouver to Granville Island to experience some food and wander around the area. The crowds of tourists were ever-present, but it was a nice way to spend an unscheduled afternoon and experience lots of food and drink options. I would recommend a ferry vs walking. We had no idea how much we would over-shoot the island by having to walk the whole way over the bridge. But a fun little activity for a nice day.","September 15, 2019",0,0,,4.0,2021-06-18 11:23:17.529914,2021-06-18 11:23:17.612698,We had no idea how much we would over-shoot the island by having to walk the whole way over the bridge.,had no idea how much we would over-shoot the island by having to walk the whole way over the bridge,-0.9993904829025269,safety,shoot
721,Overpriced and overcrowded,,"I spent 30 minutes trying to find a parking space and to add insult to injury, got a $40 parking ticket! There are virtually no signs indicating that you have to pay for parking! All souvenirs are cheaper at airport or shopping malls. Food is overpriced and seating limited. A big disappointment.","August 18, 2019",0,0,,1.0,2021-06-18 11:26:57.690512,2021-06-18 11:26:57.769880,"I spent 30 minutes trying to find a parking space and to add insult to injury, got a $40 parking ticket!","spent 30 minutes trying to find a parking space and to add insult to injury, got a $40 parking ticket",-0.9991288781166077,safety,injury
2128,Worth a visit,,"Travelled across to the island by small ferry boat from the Aquatic centre. Well priced, walk on walk off and very smooth crossing. Great view of the island as we approached.The island has some great artisan bakers, confectioners and gift providers. It is very easy to walk around, very safe and a great atmosphere .","September 30, 2018",0,0,,4.0,2021-06-18 11:59:27.373263,2021-06-18 11:59:27.449406,"It is very easy to walk around, very safe and a great atmosphere .","is very easy to walk around, very safe and a great atmosphere",0.9921810626983643,safety,safe
2200,check ou the undercover market. The food on sle is amazing,,We took a walking tour with 'Tour guys' We learnt a lot about the history and development of the island. Its a busy place but the traffic stops for pedestrians so very safe. Caught the water taxi back.,"September 20, 2018",0,0,,5.0,2021-06-18 12:01:23.163921,2021-06-18 12:01:23.263762,Its a busy place but the traffic stops for pedestrians so very safe.,the traffic stops for pedestrians so very safe,0.9930285811424255,safety,safe
2276,Give yourself a full day,,"You need a full day at Granville Island. There is so much more than the markets and shops. Buskers are a plenty with some good music, make sure you tip these wonderful entertainers and consider buying a CD or two (I did). There is so much variety of food and drink, little wonder I put on 4 kg. Granville seems to be one big party on any given day. We visited twice and were happy to be in such a clean and safe environment.","September 12, 2018",0,0,,5.0,2021-06-18 12:03:12.637680,2021-06-18 12:03:12.723582,We visited twice and were happy to be in such a clean and safe environment.,visited twice and were happy to be in such a clean and safe environment,0.9974762797355652,safety,safe
2370,Don't walk there by the Granville St bridge,,The best way to access this urban village from the city is to use one of the False Creek ferries. The rushing traffic on a long and hot bridge footpath walk is unsafe and not pleasant.Lots to see in the area and we had no problems filling in several hours before getting a return ferry along all of False Ck on sunset.,"August 31, 2018",0,0,,4.0,2021-06-18 12:05:45.881629,2021-06-18 12:05:45.965681,The rushing traffic on a long and hot bridge footpath walk is unsafe and not pleasant.,is unsafe and not pleasant,-0.9998549222946167,safety,unsafe
3055,Super Cute,,We found this area by accident to go to dinner one night and I'm glad we did. It was super cute and there were lots of people there so it seemed to be a trendy type area. There were lots of places to eat and walk around. Definitely check it out!,"June 28, 2018",0,0,,4.0,2021-06-18 12:22:18.818226,2021-06-18 12:22:18.898252,We found this area by accident to go to dinner one night,found this area by accident to go to dinner one night,0.8218743205070496,safety,accident
3072,Had a great time at Granville Island and the Market,,My wife and I visited Granville Island and the Public Market when it opened until around noon. The market was great with many food stands as well as craft business. We found many of the pottery stands had very unique items. The pickle stand was good and can package the pickles in a traveler container that is airplane safe. We had some breakfast at the crepe stand which was also good. Try the macaroons! You can see many of the local artisans at work in the surrounding buildings. We found the blacksmith shop to be interesting.,"June 26, 2018",0,0,,5.0,2021-06-18 12:22:46.598102,2021-06-18 12:22:46.675353,The pickle stand was good and can package the pickles in a traveler container that is airplane safe.,was good and can package the pickles in a traveler container that is airplane safe,0.9976736903190613,safety,safe
3715,Great for fresh produce and speciality everything else,,"Every time I am in Vancouver if time permits I try to get over the The Market. Freshness is the Key. This is not your prepackaged world. I can get giant pomegranates pretty much anytime, which I can only get seasonally in my home town, speciality meats and sausages, a very dangerous pastryt and treats area. Don't forget to browse the artisans in the market. The sights, sound and smells all combine to make a wonderful experience. I normally add in a 20 or so minute walk either down from Broadway and Granville or along the sea wall from the Olympic Canada Line station. Parking is a premium so I recommend the walk . You also have the water taxi option with two companies to choose from.","January 21, 2018",0,0,,5.0,2021-06-18 12:34:59.674701,2021-06-18 12:34:59.761583,"I can get giant pomegranates pretty much anytime, which I can only get seasonally in my home town, speciality meats and sausages, a very dangerous pastryt and treats area.","can get giant pomegranates pretty much anytime, which I can only get seasonally in my home town, speciality meats and sausages, a very dangerous pastryt and treats area",0.992665708065033,safety,dangerous
