title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
Canada's Largest Chinatown,,"Ah, Chinatown! I think it’s quite timely for the penning of this review. The current and ongoing pandemic adds another complex layer to this historic neighbourhood. Once described as an area “humming busily for more than a century with vivid colours, exotic cuisine and a vibrant culture,” the Chinatown of today is more reminiscent of a deteriorating ghost town. The streets are dirty, souvenir shops have been reduced to 2, windows are boarded up, and the vacancy rate currently sits at an elevated 17%. While still not nearly as bad as Vancouver’s notorious Downtown Eastside, you’d probably be forgiven if you thought of the two neighborhoods as one and the same. They almost look it. Indeed, this “decline” has been happening for some time, but there can be little doubt that the COVID pandemic has accelerated and exasperated these sharp social cleavages.Vancouver’s Chinatown wasn’t always “void of life.” When it was established in 1885, the neighbourhood was a proverbial beehive of activity. Immigrants began settling here following the completion of the CPR in the late 1880s and immediately made Chinatown an important social, cultural and business hub. Evidence of this early prosperity can still be seen today in the many historic buildings that make up Chinatown. Consider the Sam Kee Building, which was built in 1913, and has been recognized as the narrowest commercial building in the world; or, even consider the Wing Sang Building, built in 1889, which functioned as an important early business space. There are, of course, many more notable structures that hint at Chinatown’s rich and complex history, but you get the point. In more contemporary times, the Dr. Sun Yat-Sen Classical Chinese Garden and International Village have done much to try and revitalize the area.I rarely patronize Chinatown; in fact, the last time I actively explored the area – outside of visits to the Cineplex at International Village – was back in 2011, and that was just to partake in the Chinatown Night Market (RIP since 2014). Thus, when I came by with my partner a few weeks ago, I was genuinely surprised by what I saw: A ghost town with hints of Vancouver’s Downtown Eastside. If it wasn’t for the phenomenal Phnom Penh, I doubt we would’ve made the journey. Well, the CHINATOWN neon lights and monument to the Chinese railroad workers is nice.It’s hard not to compare Vancouver’s Chinatown to Victoria’s. The latter may be much smaller, but it’s cleaner, more robust and safer. Try walking in Victoria’s Chinatown after dark and then do the same thing here in Vancouver and you’ll see what I mean.Interestingly, when I wrote about Victoria’s Chinatown, I lauded it as demonstrating “just how far we’ve all come” because we’d “shifted from discriminatory practices [. . .] to one of inclusion.” Oh how quickly a pandemic can erase that. Now the Asian community in Vancouver – and elsewhere – has to walk on eggshells because of ignorance. Chinatown’s “Millennium Gate,” which is a symbolic representation of the neighbourhood’s journey through time, aptly highlights this, having been vandalized a few times over the last year. I’m sure the negative sentiment contributes to the ghostly feel of Chinatown these days.If we can overlook the social and economic negativity, there are still some nice things to see in Chinatown: The classic architecture, heritage buildings and monuments are definitely worth a look. And then there’s the restaurant scene: Jade Dynasty, Phnom Penh, Virtuous Pie, Devil’s Elbow, Jam Café and Catfe are all superb (okay, Catfe is more about the cats than the cheap cookies!). Just come to this neighbourhood and view it within context. Doing so, I think, will result in a more positive experience!","April 7, 2021",0,0,,3.0,2021-06-19 08:09:08.477685,2021-06-19 08:09:08.592659
Ok,,Chinatown it's like a ghost town after dark only a few restaurants are open East Pender I need to stay in after dark around here all the crazies come out,"February 18, 2021",0,0,,3.0,2021-06-19 08:09:08.592666,2021-06-19 08:09:08.694297
Ok,,Chinatown needs to be cleaned up I live down here there are a few good restaurants down here graffiti on the wall,"February 8, 2021",0,0,,1.0,2021-06-19 08:09:08.694304,2021-06-19 08:09:08.795818
Chinatown needs a good cleaning.......,,"Chinatown is faced with a number of problems...a third of the frontages are closed....businesses are faced with exorbitant rents and taxes, the problems of the Downtown Eastside spill over into Chinatown, and I believe the city fathers(and mothers) honestly dont give a damn about the tourist areas of Chinatown and Gastown. Its almost like they want these areas to fail, so that the lowrises can be knocked down and highrises erected in their place. The Chinatown BIA should insist every shop/restaurant owner cleans their frontages daily, and the city should ensure the streets and alleyways are free of litter and detritus. The poor will always be with us, but they shouldnt have to live in filth either. The sidewalks of Chinatown need a good pressure wash, and the lamp standards(which are works of art) should be cleaned, repaired and painted where necessary. With a little TLC, Chinatown could be a great Vancouver tourist attraction again.","October 19, 2020",0,0,,3.0,2021-06-19 08:09:08.795827,2021-06-19 08:09:08.897631
Where is everybody?!?,,"One of the highlights of my trips into Vancouver is getting off the Skytrain a few stops early so I can walk through Chinatown. But the place was noticeably deserted on my most recent trip. Perhaps it's Covid, perhaps it's not tourist season, but talk about closed! Sun Yat-Sen Gardens (my favourite) only open limited hours. Museum and Archives closed and locked, people using the front steps to roll up their sleeping bags. Just two examples, I could give more. I hope this will change soon, but in the meantime, be sure to check websites, or phone your favourite restaurant or attraction before making the trip.","October 17, 2020",0,0,,2.0,2021-06-19 08:09:08.897640,2021-06-19 08:09:09.002781
What a sad state of affairs!,,"This was perhaps the most disappointing part of my visit to Vancouver.  I have never been to a Chinatown so void of life. On a Sunday afternoon, the streets of empty of foot traffic, most of the stores were either vacant or closed. While Chinatowns are often known for their less-than-sanitary conditions, the Vancouver Chinatown was disgustingly dirty and smelly. The smell of urine permeated the air and was repulsive. This was perhaps a great place in its prime, but now, Chinatown seems like an extension of notorious Downtown Eastside, albeit still a very mild version in comparison. I was thankful that I was walking through in broad daylight...I would not want to come here after dark. In comparison, the Chinatown in Victoria was far more charming. Even though it was much, much smaller, at least there was street life, and it was relatively clean, and most importantly, I did not feel unsafe there.","September 15, 2020",0,0,,1.0,2021-06-19 08:09:09.002788,2021-06-19 08:09:09.104139
~~ Sad Sad ! is it worth to Come Down ~~,,"It is so sad to see the glory day of the   this place ,it was hustle ,bustle ,full of life , family looking forward come down on the week end  shopping ,eating dim sum , gift shop ,tourists  every where , so happy those were the days !!!so sad  I come down with my family to see the exhibition at the Hon Hsing building  about  Chinese Immigration   **, A seat  at the Table **only temporary  ,they will build a museum in distance future   ,  90%  neighborhood shop all closing down , very dirty ,smelly  unsafe ,homeless  every where , not ever one traditional Wonton noodle restaurants around , lot of new  restaurants move in ,the neighborhood old buildings are gone replace a new mordant  new look in the area ,but still I say to my self  ,is it worth to come down here ??? if you do ,keep your eye open ,around the  surrounding   park in open area and a  lot of foot traffic !","August 22, 2020",0,0,,2.0,2021-06-19 08:09:09.104145,2021-06-19 08:09:09.246108
A sea of human sadness,,"As with many Chinatown's there seems to be some shops and restaurants.There are some nice decorations on the lampposts and some interesting looking Chinese shops.I was however shocked at the massive amount of poverty on the streets and saddened at the numbers of people living on them. In the middle of the day there are rows of homeless people , some in tents some on nothing more than cardboard.This city has a huge problem.My heart goes out to the people who find themselves without a home.","July 31, 2020",0,0,,2.0,2021-06-19 08:09:09.246117,2021-06-19 08:09:09.348820
Lunch,,Like most Chinatowns in North America what remains are shops and restaurants. There’s some nice decorations. Just stay long enough for lunch.,"April 25, 2020",0,0,,4.0,2021-06-19 08:09:09.348826,2021-06-19 08:09:09.449591
Sketchy,,"Um, this place was unusually quiet and actually quite sketchy when we visited and we didn't feel very safe or comfortable at all....and we're NYers, so that's saying something.There are some interesting things to see but keep a wary eye and be on your guard.Spent maybe 45 minutes and couldn't wait until the hop on/hop off picked us up.I do think it's worth a visit just be very mindful or your surroundings. Junkies everywhere.","April 2, 2020",0,0,,2.0,2021-06-19 08:09:09.449597,2021-06-19 08:09:09.551915
"Really underrated, and safer than most suggest",,"I am a frequent Chinatown shopper, one who’s been going for quite a while now. Chinatown is chalk full of history and traditional Chinese culture you frankly don’t find anywhere else. The stores are fantastic, some of my favourites in the whole city, Ochi, Bamboo Village, The Tea Shop, there’s so many great small locally owned shops that will be a delight to anyone interested in traditional Chinese culture and products. All the store owners are fantastic and I enjoy speaking with them every time I visit. Chinatown does get a bad rap though and it’s a shame. I’ve been through here many times and haven’t experienced any issues, however some areas nearby Chinatown aren’t the safest to be in or walk through, so it’s best to stay around West Pender and the main areas. Aside from that I absolutely love it here, and I would highly recommend visiting whenever possible.","March 13, 2020",0,0,,4.0,2021-06-19 08:09:20.191727,2021-06-19 08:09:20.290999
Better places to go,,"Chinatown no longer has any good Chinese restaurants or many businesses at all. I used to come here often, now I go to other places like Crystal Mall, Golden Village or anywhere else in Vancouver for good Chinese food and products. Don’t let the name fool you, you will find better places to experience Chinese culture in hundreds of other places throughout Metro Vancouver. Also, it feels dangerous at night as it is in a poorer part of Vancouver. However, it does have a lot of Chinese-Canadian history, so that is the only real reason for visiting.","February 16, 2020",0,0,,2.0,2021-06-19 08:09:20.291005,2021-06-19 08:09:20.389495
Dirty and Homeless,,This area of Vancouver was rundown and dirty. Many homeless people and drug addicts loitering. I would not walk here alone at night.,"January 16, 2020",0,0,,2.0,2021-06-19 08:09:20.389501,2021-06-19 08:09:20.484162
Continues to get a bad rap,,"Walked through here on my favourite trek when I visit the big city: get off the train at Main Street, walk by Science World, through Chinatown, then WEST towatds the Stadium or Waterfrront Stations. What is important here is Chinatown's proximity to some of the scarier areas in the downtown eastside, so tourists are encouraged NOT to judge Chinatown itself by its surroundings. Consider the world's shallowest building, the traditional medicine shop, and the amazing Sun Yat-Sen Garden. Put another way: Chanatown good, areas to north not so much.","January 3, 2020",0,0,,4.0,2021-06-19 08:09:20.484168,2021-06-19 08:09:20.581797
Go to the Garden,,"It's been a Chinese neighborhood for decades, so there is history here along with the great food.  The real estate is becoming valuable so change is happening.  The garden is the gem, so go!","December 28, 2019",0,0,,4.0,2021-06-19 08:09:20.581803,2021-06-19 08:09:20.685112
Dirty - Stay Away at Night,,Chinatown in Vancouver is dirty and filled with evidence of drug use.  It must be a favorite place for the homeless population. I would suggest that you go during the day if you go at all.  This place needs to be cleaned up and does not represent what we visited in the rest of the city.,"December 21, 2019",0,0,,2.0,2021-06-19 08:09:20.685119,2021-06-19 08:09:20.784024
Amazing Chinatown,,"I recently had the opportunity to see Chinatown. I found it a unique and exciting visit  the stores had an abundance of items for me to check out. The people were very friendly and were happy to help me. Even the street people there were helpful in guiding me to certain stores. I have constantly heard all the bad things about how bad and dirty it is, about how it’s dangerous to visit the area but i am extremely happy i ignored that and went to see it for myself. Yes the area has some issues but so does every other place in the world. I have been travelling extensively my whole life and been to areas on this planet that makes it look tame by comparison. So my advice to anyone wanting to see Chinatown, but is deterred by the bad stigma attached to it. Ignore it all and go see for yourself to make your own judgement. I’m sure you’ll be pleasantly surprised and will take away fond memories of the place.","December 17, 2019",0,0,,5.0,2021-06-19 08:09:20.784030,2021-06-19 08:09:20.880468
Disappointing!!,,Stay away! Too many drug addicts. Needles on the streets. Drunk/wasted are all over the area. Not much restaurants to choose from. Seemed deserted. Someone needs to clean up this place.,"December 9, 2019",0,0,,1.0,2021-06-19 08:09:20.880476,2021-06-19 08:09:20.984760
