title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
Never get tired of this area,,"Tourists new to Vancouver should be sure to spend at least a few hours in this neighbourhood, which is anything but touristy. About ten minutes from downtown on the Skytrain, then walk a few blocks to the north. All of a sudden, funky shops, open air coffee shops and markets, people that look like they've never read a fashion magazine - great food, great coffee, great atmosphere. While there are some spots that have succumbed to gentrification, most of the neighbourhood remains as it was a generation ago. Enjoy it while you still can.","March 16, 2020",0,0,,4.0,2021-06-18 21:22:38.811123,2021-06-18 21:22:38.923557
Little Italy Vancouver,,"When visiting Vancouver you must enjoy a fine Italian Restaurant, and experience Little Italy on Commercial Drive on the East side of Vancouver. Well worth it!","December 1, 2019",0,0,,5.0,2021-06-18 21:22:38.923565,2021-06-18 21:22:39.036251
Central Cultural St Italian quarters,,"Fun part of Vancouver. Definitely visit as it’s the central meeting point of the skytrain public transit line so easy to get off and back on with the same transfer. Home of the World Cup soccer games and parade. Tones of great eats and bars. A little rough around the edges still with homeless but not dangerous. Great Italian restaurants and fun ethics shops like vintage stores, organic supermarkets and unique gift shops. Great people watching. Have fun exploring !","November 17, 2019",0,0,,5.0,2021-06-18 21:22:39.036258,2021-06-18 21:22:39.139621
"Very popular,",,"The two Skytrains meet there, Greenline that goes to and from Coquitlam, the other one or way goes via Burnaby, New Westminster, and back into Vancouver the M line.  The other Skytrain goes to and from Surrey, and to and from Vancouver","November 15, 2019",0,0,,5.0,2021-06-18 21:22:39.139628,2021-06-18 21:22:39.239907
Great mix of restaurants,,"Spent 3 days in a Airbnb near to commercial drive, good choice of quirky shops and easy links to the city via the metro.","October 13, 2019",0,0,,4.0,2021-06-18 21:22:39.239913,2021-06-18 21:22:39.340172
good food and coffee scene,,We stayed in East Van instead of downtown and glad we did as the food and bar scene is great much better than downtown,"October 7, 2019",0,0,,5.0,2021-06-18 21:22:39.340178,2021-06-18 21:22:39.449333
Great area to explore!,,"We have been to Vancouver numerous times but this was the first time it was on our radar.  We were concerned it would be too far away, but by taking the Sky Train, it is a piece of cake.  I don’t think I have ever seen seen so many intriguing restaurants of different countries and ethnicity ever! It was fun to walk and look at the varied shops, eateries, coffee houses and book stores.  We spent hours poking around.  I would recommend this area highly!","October 6, 2019",0,0,,4.0,2021-06-18 21:22:39.449340,2021-06-18 21:22:39.566806
Great place to visit,,"We come down here to eat and shop and go to Italian days. They have lots of different shops like candy, used clothing, hardware, flower, grocery, deli, fruit, cheese stores and many different types of restaurants and coffee shops.","September 17, 2019",0,0,,4.0,2021-06-18 21:22:39.566813,2021-06-18 21:22:39.679598
Quirky Street,,"Commercial Drive is located in East Vancouver and hosts hundreds of small independent businesses and shops. There are also a number of events hosted on 'the drive' such as Italia Day, which is a great time. The street has a lot of character and is easily accessible via the Commercial-Broadway skytrain station on the Expo and Millennium line.","September 5, 2019",0,0,,4.0,2021-06-18 21:22:39.679607,2021-06-18 21:22:39.791785
Great selection of shops,,"This used to be called a Little Italy . There are way more ethnic shops now along the way. Lots of retro clothes shops, second hand and collector shops. Vegan and vegetarian shops too.","July 9, 2019",0,0,,4.0,2021-06-18 21:22:39.791792,2021-06-18 21:22:39.903624
What a dive,,"We grew up and lived in Greater Vancouver,  for nearly 60 years but haven’t re-visited this area for a few decades. We went on a Sunday afternoon expecting a clean, cool vibrant area a bit like Kits, and we quite surprised to find it more like East Cordova. A few street people laying on the sidewalk, grubby cafes ( I cringe at what the kitchens must look like )and second hand stores, tattoo parlours etc. People trying to to sell their wares in the park- looked mostly like dumpster pickins’. Plenty of piercings and tattoos to be seen, lots of...”unique folk”. We certainly wouldn’t want to eat anywhere there. We’d be embarrassed for any tourists that happened across it thinking this was Vancouver.Sorry if we’re just not hip enough, but no thanks.","June 30, 2019",0,0,,2.0,2021-06-18 21:22:51.502178,2021-06-18 21:22:51.598755
A neighbourhood!!,,"We are new to Vancouver and are still exploring.  We visited Commercial Drive expecting to be underwhelmed...what a pleasant surprise!!  This area has a real neighbourhood feel, with real houses, not a sea of concrete and high rise condos.  Eclectic mix of stores, restaurants, small markets, bakeries and coffee shops.  Nothing glitzy, upscale or swanky.  There are a few life style shops and clothing stores hinting at gentrification but most things are affordable and casual.  Met some nice shopkeepers as well as some colourful local characters.  For sure, we'll go back.","May 1, 2019",0,0,,4.0,2021-06-18 21:22:51.598761,2021-06-18 21:22:51.693348
