title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
Unique Architecture!,,Vancouver continues to grow with the building of new architecture throughout the downtown core! Love the city even during these COVID times!,"May 23, 2021",0,0,,4.0,2021-06-18 17:19:31.906917,2021-06-18 17:19:32.001997
Natures beauty,,"Although I live in a suburb about 25 minutes to the city, as soon as I approach the downtown area of Vancouver I appreciate natures beauty. Separated by patches of water with a back drop of snow capped  mountains I admire the architecture of the tall towers that have added to the beauty of this city. The downtown core is easily accessible by walk or bicycles. Stanley Park, Beach Avenue, Gastown, Robson, Granville Island - oh, there is so much to do especially in the summer when it's warm and bright!¬","March 21, 2021",0,0,,5.0,2021-06-18 17:19:32.002004,2021-06-18 17:19:32.091658
COVID Quiet!,,Sad too see downtown shops & restaurants are so quiet during COVID times! Travelling along the main streets to see the local shops & along the waterfront not very busy. Hoping 2021 will turnaround for everyone!,"December 23, 2020",0,0,,4.0,2021-06-18 17:19:32.091664,2021-06-18 17:19:32.210216
Lively vibe and so safe,,"On this last trip we spent 6 days in Vancouver at 2 hotels...one on Burrard near Davie and the other on Burrard near Nicola.  We must have walked 20 Km at all hours of the day/night and enjoyed every minute of it.  Robson Street in particular was always lively.  Even some sections on Hastings at Main weren't ideal, but never felt unsafe.  Vancouver is such a walkable city.  We took advantage of the excellent Compass card when necessary, but really liked walking about.","October 18, 2020",0,0,,4.0,2021-06-18 17:19:32.210222,2021-06-18 17:19:32.299126
So easy to stroll around!,,"Such an easy centre to wander around, be it the new or old parts of town, e.g. Gastown and everyone so friendly and welcoming everywhere!","August 25, 2020",0,0,,5.0,2021-06-18 17:19:32.299132,2021-06-18 17:19:32.397336
Our Favourite City in Canada,,"Great way to explore Downtown Vancouver is to walk around Yaletown and the Westend. Lots of places to shop and eat around Granville, Howe and Seymour Streets. We stayed in the International Village, which was reasonable, safe (despite a few homeless near the Arena) and an easy walk to Gastown, Coal Harbour and False Creek, where you can catch a Ferry to Granville Island.  We actually visited in April 2019, and only had 2 days to explore this beautiful city so on Day 1 walked form Chinatown, to Gastown, Coal Harbour and Stanley Park and then back through the central Westend back to Chinatown. Day 2 we took in Yaletown, Granville Island and Downtown and good way to explore. If we had longer a visit to the Capilano Bridge and  Butchart Gardens would be on the cards....maybe next time, if we ever get back! Although a short visit this was definitely the most beautiful and our favourite city in Canada.","July 23, 2020",0,0,,5.0,2021-06-18 17:19:32.397346,2021-06-18 17:19:32.509214
Quiet Times During COVID!,,"We went downtown and met family for a lunch on the waterfront. We were very surprised to see how quiet it was on all of the main tourist areas! Love the city but COVID has taken a toll on people getting out to see the site & sounds of Vancouver! Hopefully everyone will have a ""Stay Vacation"" and enjoy the city!","July 18, 2020",0,0,,4.0,2021-06-18 17:19:32.509219,2021-06-18 17:19:32.599996
Great time,,"Had a great time , my nephew had so much fun exploring around , very child friendly and family oriented","June 21, 2020",0,0,,5.0,2021-06-18 17:19:32.600002,2021-06-18 17:19:32.703101
Good,,"Downtown was quite active in the evening, which is quite happening place with nice food and busy streets. Shopping was quite expensive.","June 14, 2020",0,0,,4.0,2021-06-18 17:19:32.703107,2021-06-18 17:19:32.825527
Nice city,,"A great city - lots to do and see, easy to navigate and felt safe at all times. Only downside it is not the most colourful of places","April 30, 2020",0,0,,4.0,2021-06-18 17:19:32.825532,2021-06-18 17:19:32.965045
The street is not busy enough,,"It is Crowded if you drive a car in the daytime , but it is fine if you walk in the Street, at night it is not busy at all.","March 27, 2020",0,0,,4.0,2021-06-18 17:19:44.371606,2021-06-18 17:19:44.472376
Vibrant,,Vancouver downtown is not an unusually large area and one can easily walk to Stanley Park and the aquarium (along the seawall is very pleasant and scenic) or through Yaletown (lots of restaurants) to the small ferrys to Granville Island (a great market). Walking from the wonderful Art Gallery along Robson Street (shops and restaurants) all the way to Denman and up Denman (lots more restaurants) to English Bay would take a little more than an hour. But all these walks are worth it.,"March 22, 2020",0,0,,5.0,2021-06-18 17:19:44.472381,2021-06-18 17:19:44.562496
"Walk, Eat, Drink, and be Merry",,"Downtown is a great place to walk!  You can also find several options for food, adult beverages, shopping, and entertainment.","March 10, 2020",0,0,,5.0,2021-06-18 17:19:44.562502,2021-06-18 17:19:44.652410
Lots to do,,Make sure to check if there is an ice hockey game on! Rent a bike and ride around Stanley Park. Visit the op shops. Eat at all the waterfront restaurants. Visit gas town but I’d stay away from Chinatown Hastings street at night if you are on your own as it can be a bit dangerous.,"March 8, 2020",0,0,,3.0,2021-06-18 17:19:44.652417,2021-06-18 17:19:44.741786
The heart of life,,"It's like all other big cities, crowd and full of life. You can find Brands for shopping. Many events and so many happenings are taking place here. Famous theatres are in downtown. The only weak part, like all the crowd parts of the cities, is parking spaces which are a bit difficult. Especially when you are in a rush.","March 5, 2020",0,0,,5.0,2021-06-18 17:19:44.741792,2021-06-18 17:19:44.832282
An incredible city!,,"Vancouver as a whole is great! Get a hotel in downtown, and if the weather cooperates, you can walk to just about anything you want to see in the vicinity! We stayed near the stadium, visited Chinatown, the gayborhood (Davie Street), Yaletown, and the waterfront by the Ferries all on foot! The one downside we found with the downtown area is the widespread illicit drug use and the debris from it being strewn about. We saw countless syringes with needles attached on the sidewalks (huge safety hazard), crack pipes, and more. Main things: watch your step (and your back) and you’ll have a great time!","March 1, 2020",0,0,,5.0,2021-06-18 17:19:44.832289,2021-06-18 17:19:44.932806
Vancouver in February,,"If you are trying to get away from snow and cold, Vancouver is not a bad place to be. Unfortunately, the city's charm is declining rapidly as glass and steel condos replace old historical homes and buildings.Also, the transit system does not allow your dogs on board as regular passengers and cabs will often not take them so travel around the city is difficult if you want to take your best friends with you.Grocery stores downtown are also way over priced. You will work very hard trying to find a deal here. This is not a place to come shopping.Make plans to go to the woods and suspension bridges, go rafting or kayaking to get out of the concrete jungle and into the green.","February 29, 2020",0,0,,3.0,2021-06-18 17:19:44.932812,2021-06-18 17:19:45.028703
Diverse And Dynamic,,"Full of energy, diversity, possibilities, and culture. Think about what you want to do and just do it. Eat what you like , where you like, and when you like. You are in charge of all the possibilities available in the Emerald City!","February 26, 2020",0,0,,5.0,2021-06-18 17:19:45.028708,2021-06-18 17:19:45.121732
